submission_number,snapshot_id,snapshot_row_number,primary_product_code,metadata_match_status
K250569,FDA_AI_LIST_2026-06-29,218,DPS,MATCH_AFTER_DATE_NORMALIZATION
K250246,FDA_AI_LIST_2026-06-29,219,LNH,MATCH_AFTER_DATE_NORMALIZATION
K250941,FDA_AI_LIST_2026-06-29,220,JAK,MATCH_AFTER_DATE_NORMALIZATION
K243341,FDA_AI_LIST_2026-06-29,221,QDQ,MATCH_AFTER_DATE_NORMALIZATION
K250738,FDA_AI_LIST_2026-06-29,222,KPR,MATCH_AFTER_DATE_NORMALIZATION
DEN240068,FDA_AI_LIST_2026-06-29,223,SFH,MATCH_AFTER_DATE_NORMALIZATION
K243919,FDA_AI_LIST_2026-06-29,224,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250652,FDA_AI_LIST_2026-06-29,225,QYE,MATCH_AFTER_DATE_NORMALIZATION
K251322,FDA_AI_LIST_2026-06-29,226,IYN,MATCH_AFTER_DATE_NORMALIZATION
K251455,FDA_AI_LIST_2026-06-29,227,IYN,MATCH_AFTER_DATE_NORMALIZATION
K243681,FDA_AI_LIST_2026-06-29,228,LLZ,MATCH_AFTER_DATE_NORMALIZATION
K250901,FDA_AI_LIST_2026-06-29,229,LNH,MATCH_AFTER_DATE_NORMALIZATION
K250686,FDA_AI_LIST_2026-06-29,230,LLZ,MATCH_AFTER_DATE_NORMALIZATION
K250902,FDA_AI_LIST_2026-06-29,231,PJA,MATCH_AFTER_DATE_NORMALIZATION
K250999,FDA_AI_LIST_2026-06-29,232,IYN,MATCH_AFTER_DATE_NORMALIZATION
K243547,FDA_AI_LIST_2026-06-29,233,LNH,MATCH_AFTER_DATE_NORMALIZATION
K251839,FDA_AI_LIST_2026-06-29,234,KPS,MATCH_AFTER_DATE_NORMALIZATION
K243397,FDA_AI_LIST_2026-06-29,235,LNH,MATCH_AFTER_DATE_NORMALIZATION
K251151,FDA_AI_LIST_2026-06-29,236,QAS,MATCH_AFTER_DATE_NORMALIZATION
K251342,FDA_AI_LIST_2026-06-29,237,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250119,FDA_AI_LIST_2026-06-29,238,QYE,MATCH_AFTER_DATE_NORMALIZATION
