bridge_id,annotation_id,subject_submission_number,anchor_document_submission_number,anchor_purpose,source_url,source_record_ids,document_sha256,text_sha256,physical_page,normalized_char_start,normalized_char_end,quote_sha256,normalized_quote_sha256,normalized_quote_characters
BRIDGE6c1dd8aa52e5004d,K213938:user,K213938,K213938,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,SRC02113,e142ed5ee63f9cfa1e1dd5747c1cc2489df032b86e58cf1deeabc85ebcc5e620,34ea542ed92c0992ab3b348b0f94cd6002fa00e4d226d8c54b2a6e1c64d88d91,6,1270,1459,51894f0f2f03f285b8de778381276535b0c4639365701931ee815982a0a0a60a,51894f0f2f03f285b8de778381276535b0c4639365701931ee815982a0a0a60a,189
BRIDGE6588944d71842ed0,K220043:action,K220043,K220043,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,SRC02066,ba1b41018b8c876de97460a2dcc73aedad4927083b170f7cb4f083735f4d8951,91df2e69627578a2f43982fa46902f6ee19a94c3c99a691022ce7630405f6972,6,329,426,74c9bf9db41f91dc36bcc70ca829b1fe2f8567187dd200d6166850f06e3c2ccc,74c9bf9db41f91dc36bcc70ca829b1fe2f8567187dd200d6166850f06e3c2ccc,97
BRIDGE3b722b4c649576bf,K220043:action,K220043,K220043,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,SRC02066,ba1b41018b8c876de97460a2dcc73aedad4927083b170f7cb4f083735f4d8951,91df2e69627578a2f43982fa46902f6ee19a94c3c99a691022ce7630405f6972,6,1091,1141,93c77d05313443dc648a90aff0dce4907a140b141b1790d5fa177f80a1765ead,93c77d05313443dc648a90aff0dce4907a140b141b1790d5fa177f80a1765ead,50
BRIDGE68232cd39a1e0753,K220043:action,K220043,K220043,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,SRC02066,ba1b41018b8c876de97460a2dcc73aedad4927083b170f7cb4f083735f4d8951,91df2e69627578a2f43982fa46902f6ee19a94c3c99a691022ce7630405f6972,6,1384,1536,b3f20c265723397c4d53f90480b7042ebd8152b7310cc18124141b5119bc8c4b,b3f20c265723397c4d53f90480b7042ebd8152b7310cc18124141b5119bc8c4b,152
BRIDGEb219b8829dd002a6,K220043:action,K220043,K220043,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,SRC02066,ba1b41018b8c876de97460a2dcc73aedad4927083b170f7cb4f083735f4d8951,91df2e69627578a2f43982fa46902f6ee19a94c3c99a691022ce7630405f6972,6,1539,1704,b8fbad703bac93c5e6aa3f557d404f1c158166e186f01ff06d67b83b4feb127d,b8fbad703bac93c5e6aa3f557d404f1c158166e186f01ff06d67b83b4feb127d,165
BRIDGEea637b023454c63b,K220043:input,K220043,K220043,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,SRC02066,ba1b41018b8c876de97460a2dcc73aedad4927083b170f7cb4f083735f4d8951,91df2e69627578a2f43982fa46902f6ee19a94c3c99a691022ce7630405f6972,6,329,426,74c9bf9db41f91dc36bcc70ca829b1fe2f8567187dd200d6166850f06e3c2ccc,74c9bf9db41f91dc36bcc70ca829b1fe2f8567187dd200d6166850f06e3c2ccc,97
BRIDGE46d2d8fd7ce421db,K220043:input,K220043,K220043,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,SRC02066,ba1b41018b8c876de97460a2dcc73aedad4927083b170f7cb4f083735f4d8951,91df2e69627578a2f43982fa46902f6ee19a94c3c99a691022ce7630405f6972,6,1091,1141,93c77d05313443dc648a90aff0dce4907a140b141b1790d5fa177f80a1765ead,93c77d05313443dc648a90aff0dce4907a140b141b1790d5fa177f80a1765ead,50
BRIDGEe65df2979959e414,K220043:input,K220043,K220043,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,SRC02066,ba1b41018b8c876de97460a2dcc73aedad4927083b170f7cb4f083735f4d8951,91df2e69627578a2f43982fa46902f6ee19a94c3c99a691022ce7630405f6972,6,1384,1536,b3f20c265723397c4d53f90480b7042ebd8152b7310cc18124141b5119bc8c4b,b3f20c265723397c4d53f90480b7042ebd8152b7310cc18124141b5119bc8c4b,152
BRIDGE1fe51595a0e5fe19,K220043:input,K220043,K220043,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,SRC02066,ba1b41018b8c876de97460a2dcc73aedad4927083b170f7cb4f083735f4d8951,91df2e69627578a2f43982fa46902f6ee19a94c3c99a691022ce7630405f6972,6,1539,1704,b8fbad703bac93c5e6aa3f557d404f1c158166e186f01ff06d67b83b4feb127d,b8fbad703bac93c5e6aa3f557d404f1c158166e186f01ff06d67b83b4feb127d,165
BRIDGE1b20fde1ff41afa6,K220043:output,K220043,K220043,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220043.pdf,SRC02066,ba1b41018b8c876de97460a2dcc73aedad4927083b170f7cb4f083735f4d8951,91df2e69627578a2f43982fa46902f6ee19a94c3c99a691022ce7630405f6972,6,329,426,74c9bf9db41f91dc36bcc70ca829b1fe2f8567187dd200d6166850f06e3c2ccc,74c9bf9db41f91dc36bcc70ca829b1fe2f8567187dd200d6166850f06e3c2ccc,97
